"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio"
921407610026572,100064720237286,"Alcaldía de Tuluá","¡Corre seguro este domingo!✅👟🏃🏼🏃🏼‍♀️ 

Desde la Administración Municipal invitamos a toda la comunidad tulueña para que asista y participe de este espacio deportivo y recreativo familiar, en su versión número 24. ¡Vivamos con seguridad y responsabilidad la Carrera Río Tuluá, un espacio #ParaSerFelices! 💙✅💪🏼","¡Corre seguro este domingo!✅👟🏃🏼🏃🏼‍♀️ 

Desde la Administración Municipal invitamos a toda la comunidad tulueña para que asista y participe de este espacio deportivo y recreativo familiar, en su versión número 24. ¡Vivamos con seguridad y responsabilidad la Carrera Río Tuluá, un espacio #ParaSerFelices! 💙✅💪🏼",66,"08/02/2024 16:08",N/A,https://www.facebook.com/reel/472434282064513/,1,0,Reels,,,,,Total,1994,1541,91,74,7,10,0,,,2392,20802.135,9.67,0,0
1017166376525412,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el Alcalde!","¡Bienvenidos a este espacio creado para compartir con nuestra comunidad! #ParaSerFelices 💪💙",0,"08/02/2024 10:08",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/1017166376525412/,0,0,"En vivo",,,,,Total,,7547,1199,795,227,177,,,,13490,512206.744,43.366,0,
940839178083415,100064720237286,"Alcaldía de Tuluá","¡Caen integrantes de la Inmaculada encargados de vender psicoactivos a menores!👮🏻‍♂️

Se trata de 10 integrantes de este grupo delincuencial, quienes presuntamente serían los encargados de distribuir y vender sustancias psicoactivas a menores de edad en los entornos de las Instituciones Educativas; estas capturas se realizaron durante el operativo, llevado a cabo en la madrugada de este martes, 27 de agosto dentro de la estrategia denominada ´Seguridad en los Territorios´ que continúa debilitando cada vez más a dicho grupo. 

Continuamos trabajando para brindar seguridad en una Tuluá #ParaSerFelices ✅","¡Caen integrantes de la Inmaculada encargados de vender psicoactivos a menores!👮🏻‍♂️

Se trata de 10 integrantes de este grupo delincuencial, quienes presuntamente serían los encargados de distribuir y vender sustancias psicoactivas a menores de edad en los entornos de las Instituciones Educativas; estas capturas se realizaron durante el operativo, llevado a cabo en la madrugada de este martes, 27 de agosto dentro de la estrategia denominada ´Seguridad en los Territorios´ que continúa debilitando cada vez más a dicho grupo. 

Continuamos trabajando para brindar seguridad en una Tuluá #ParaSerFelices ✅",31,"08/30/2024 14:08",uploaded,https://www.facebook.com/reel/1715593142606185/,1,0,Reels,,,,,Total,1126,1108,124,94,15,15,0,,,2726,31037.27,12.762,0,0
940765254757474,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el Alcalde!🙌🏽✅

Bienvenidos a este espacio para hablar com nuestra comunidad.💙🙌🏽 #ParaSerFelices","¡Encuentros con el Alcalde!🙌🏽✅

Bienvenidos a este espacio para hablar com nuestra comunidad.💙🙌🏽 #ParaSerFelices",0,"08/30/2024 11:08",N/A,https://www.facebook.com/reel/1542202410051971/,1,0,Reels,,,,,Total,339,328,4,3,1,0,0,,,2,19.821,9.91,0,0
1514165682531318,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el Alcalde! 🔵🔗✅","¡Encuentros con el Alcalde! 🔵🔗✅

Bienvenidos a este espacio en el que dialogaremos con nuestra comunidad tulueña #ParaSerFelices 💙",4000,"08/30/2024 10:08",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/1514165682531318/,0,0,"En vivo",,,,,Total,,2207,399,275,103,21,,,,4765,246498.76,60.893,0,
940707148096618,100064720237286,"Alcaldía de Tuluá","🎉 ¡PAPAYAZO TRIBUTARIO 2024! 💰 ✅

Aprovecha el 90% de descuento en intereses y sanciones de tus impuestos municipales este mes. Desde la Administración Municipal brindamos esta increíble oportunidad para aliviar tu carga tributaria. 🔍 Descubre más sobre cómo puedes aprovechar estos beneficios en este carrusel. ¡No dejes pasar esta oportunidad para ponerte al día y ahorrar! 👇 #ParaSerFelices 💙",,0,"08/30/2024 09:08",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid04ptzHe4e81gFMBEfiDWRQB69TPnKxWtAhbGoZKcTUpkP4d9TrvQrG2hCH916YhdEl,0,0,Fotos,,,,,Total,758,747,10,5,0,5,42,38,4,,,,,
939511588216174,100064720237286,"Alcaldía de Tuluá","¡Buenas noticias para los tulueños: Concejo Municipal aprobó papayazo de descuentos en impuestos!🗣️✅💪🏼

A partir del 1 al 30 de septiembre, desde la Administración Municipal se ofrecerán descuentos masivos con el “Papayazo Tributario”, un 90% en septiembre, 80% en octubre, y 70% en noviembre y diciembre en los intereses de impuesto predial, Industria y Comercio, Servicio de Alumbrado Público, y Circulación y Tránsito de servicio público.

Continuamos fortalecer al municipio y asegurando que todos contribuyamos al desarrollo y bienestar de Tuluá #ParaSerFelices 💙✅","¡Buenas noticias para los tulueños: Concejo Municipal aprobó papayazo de descuentos en impuestos!🗣️✅💪🏼

A partir del 1 al 30 de septiembre, desde la Administración Municipal se ofrecerán descuentos masivos con el “Papayazo Tributario”, un 90% en septiembre, 80% en octubre, y 70% en noviembre y diciembre en los intereses de impuesto predial, Industria y Comercio, Servicio de Alumbrado Público, y Circulación y Tránsito de servicio público.

Continuamos fortalecer al municipio y asegurando que todos contribuyamos al desarrollo y bienestar de Tuluá #ParaSerFelices 💙✅",100,"08/28/2024 16:08",uploaded,https://www.facebook.com/reel/525033499974647/,1,0,Reels,,,,,Total,2758,2685,321,234,35,52,0,,,5564,116483.421,24.731,0,0
939360708231262,100064720237286,"Alcaldía de Tuluá","¡Estamos  más cerca de la comunidad!✅💙

Desde la Administración Municipal, te invitamos este 7 de septiembre a la gran jornada de integración para que conozcas toda la oferta institucional que tenemos para ofrecerte. Tendremos espacios de arte, cultura, deporte y recreación para toda la comunidad tulueña.✨🙌🏽

¡No te pierdas estos espacios donde nos conectaremos #ParaSerFelices!💙","¡Estamos  más cerca de la comunidad!✅💙

Desde la Administración Municipal, te invitamos este 7 de septiembre a la gran jornada de integración para que conozcas toda la oferta institucional que tenemos para ofrecerte. Tendremos espacios de arte, cultura, deporte y recreación para toda la comunidad tulueña.✨🙌🏽

¡No te pierdas estos espacios donde nos conectaremos #ParaSerFelices!💙",60,"08/28/2024 10:08",uploaded,https://www.facebook.com/reel/815795320370422/,1,0,Reels,,,,,Total,1598,1543,215,180,15,20,0,,,3737,56294.561,16.532,0,0
938730661627600,100064720237286,"Alcaldía de Tuluá","¡Ya tenemos 22 Equipos Básicos de Salud brindando atención a los tulueños! 🔍🏥

 💬👨‍⚕️👩‍⚕️ En un trabajo articulado con el Hospital Rubén Cruz Vélez, reafirmamos nuestro compromiso de brindar un servicio de calidad a toda la comunidad tulueña con los Equipos de Profesionales especializados que se encuentran en campo dedicados a cuidar de la salud de nuestra población.

Juntos, ¡seguimos avanzando hacia un Tuluá #ParaSerFelices! 💙✅💪",,0,"08/27/2024 13:08",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02FexqKxeMk8UvsqCjcfPvAwWcBAEN2JYc41UztpLrXu4DzBaAcbTT8Wn3FUaDhcMRl,0,0,Fotos,,,,,Total,6551,6263,131,96,9,26,801,684,117,,,,,
937255225108477,100064720237286,"Alcaldía de Tuluá","¡Así vivimos nuestra Feria Gastronómica y de Descuentos!🤩🎉                                                Dos días de ritmo contagioso 🎶, sabores exquisitos 🍴 y un ambiente familiar lleno de amor ❤️Trabajamos mano a mano desde la Administración Municipal e Infitulua, para impulsar la reactivación económica y cultural de estos lugares emblemáticos para la comunidad tulueña.💪 ¡Seguimos trabajando día a día para #ParaSerFelices!💙🙌🏽","¡Así vivimos nuestra Feria Gastronómica y de Descuentos!🤩🎉                                                Dos días de ritmo contagioso 🎶, sabores exquisitos 🍴 y un ambiente familiar lleno de amor ❤️Trabajamos mano a mano desde la Administración Municipal e @[61557477032777:2048:Infitulua], para impulsar la reactivación económica y cultural de estos lugares emblemáticos para la comunidad tulueña.💪 ¡Seguimos trabajando día a día para #ParaSerFelices!💙🙌🏽",71,"08/25/2024 11:08",N/A,https://www.facebook.com/reel/1957933897990940/,0,0,Reels,,,,,Total,926,823,62,42,11,9,0,,,1356,9054.336,7.22,0,0
